"Taxon","WorldID","Armature_type","Armature"
"Abarema.acreana",22790,NA,NA
"Abarema.acreana",22791,NA,NA
"Abarema.acreana",23149,NA,NA
"Abarema.acreana",23150,NA,NA
"Abarema.cochliacarpos",18139,0,0
"Abarema.cochliacarpos",22825,0,0
"Abarema.cochliacarpos",21743,0,0
"Abarema.cochliacarpos",24265,0,0
"Abarema.cochliacarpos",23546,0,0
"Abarema.cochliacarpos",16697,0,0
"Abarema.cochliacarpos",22103,0,0
"Abarema.cochliacarpos",23906,0,0
"Abarema.cochliacarpos",22464,0,0
"Abarema.cochliacarpos",20300,0,0
"Abarema.cochliacarpos",21740,0,0
"Abarema.cochliacarpos",22104,0,0
"Acacia.abbatiana",17968,0,0
"Acacia.abbreviata",16870,0,0
"Acacia.abbreviata",18310,0,0
"Acacia.abbreviata",16510,0,0
"Acacia.abrupta",13625,0,0
"Acacia.abrupta",16499,0,0
"Acacia.abrupta",15067,0,0
"Acacia.abrupta",15063,0,0
"Acacia.abrupta",15781,0,0
"Acacia.abrupta",15066,0,0
"Acacia.abrupta",16142,0,0
"Acacia.abrupta",14344,0,0
"Acacia.abrupta",15429,0,0
"Acacia.abrupta",15791,0,0
"Acacia.abrupta",16141,0,0
"Acacia.abrupta",15788,0,0
"Acacia.abrupta",14704,0,0
"Acacia.abrupta",15784,0,0
"Acacia.abrupta",15428,0,0
"Acacia.abrupta",16148,0,0
"Acacia.abrupta",16502,0,0
"Acacia.abrupta",14706,0,0
"Acacia.abrupta",16509,0,0
"Acacia.abrupta",16149,0,0
"Acacia.abrupta",15065,0,0
"Acacia.abrupta",16139,0,0
"Acacia.abrupta",15426,0,0
"Acacia.abrupta",16140,0,0
"Acacia.abrupta",16147,0,0
"Acacia.abrupta",16511,0,0
"Acacia.abrupta",15780,0,0
"Acacia.abrupta",16150,0,0
"Acacia.abrupta",16503,0,0
"Acacia.abrupta",16870,0,0
"Acacia.acanthoclada",11843,2,1
"Acacia.acanthoclada",12540,2,1
"Acacia.acanthoclada",13617,2,1
"Acacia.acanthoclada",12539,2,1
"Acacia.acanthoclada",13274,2,1
"Acacia.acanthoclada",14344,2,1
"Acacia.acanthoclada",13985,2,1
"Acacia.acanthoclada",14337,2,1
"Acacia.acanthoclada",13621,2,1
"Acacia.acanthoclada",12899,2,1
"Acacia.acanthoclada",13620,2,1
"Acacia.acanthoclada",14704,2,1
"Acacia.acanthoclada",13977,2,1
"Acacia.acanthoclada",13978,2,1
"Acacia.acanthoclada",12203,2,1
"Acacia.acanthoclada",12179,2,1
"Acacia.acanthoclada",12201,2,1
"Acacia.acanthoclada",11841,2,1
"Acacia.acinacea",11486,0,0
"Acacia.acinacea",12569,0,0
"Acacia.acinacea",11487,0,0
"Acacia.acinacea",12200,0,0
"Acacia.acinacea",11126,0,0
"Acacia.acinacea",11123,0,0
"Acacia.acinacea",12930,0,0
"Acacia.acinacea",11124,0,0
"Acacia.acinacea",11121,0,0
"Acacia.acinacea",10765,0,0
"Acacia.acinacea",10767,0,0
"Acacia.acinacea",11482,0,0
"Acacia.acinacea",12199,0,0
"Acacia.acinacea",11125,0,0
"Acacia.acinacea",11481,0,0
"Acacia.acinacea",11478,0,0
"Acacia.acinacea",12559,0,0
"Acacia.acinacea",11839,0,0
"Acacia.acinacea",11485,0,0
"Acacia.acinacea",11122,0,0
"Acacia.acinacea",11484,0,0
"Acacia.aciphylla",14336,0,0
"Acacia.acradenia",15804,0,0
"Acacia.acradenia",16148,0,0
"Acacia.acradenia",17245,0,0
"Acacia.acradenia",16524,0,0
"Acacia.acradenia",17961,0,0
"Acacia.acradenia",17956,0,0
"Acacia.acradenia",19389,0,0
"Acacia.acradenia",16884,0,0
"Acacia.acradenia",17241,0,0
"Acacia.acradenia",17940,0,0
"Acacia.acradenia",17605,0,0
"Acacia.acradenia",19032,0,0
"Acacia.acradenia",17231,0,0
"Acacia.acradenia",17602,0,0
"Acacia.acradenia",19751,0,0
"Acacia.acradenia",19390,0,0
"Acacia.acradenia",19030,0,0
"Acacia.acradenia",16876,0,0
"Acacia.acradenia",17601,0,0
"Acacia.acradenia",19391,0,0
"Acacia.acradenia",18308,0,0
"Acacia.acradenia",17583,0,0
"Acacia.acradenia",16509,0,0
"Acacia.acradenia",16164,0,0
"Acacia.acradenia",17242,0,0
"Acacia.acradenia",17222,0,0
"Acacia.acradenia",17963,0,0
"Acacia.acradenia",19027,0,0
"Acacia.acradenia",17965,0,0
"Acacia.acradenia",18665,0,0
"Acacia.acradenia",16874,0,0
"Acacia.acradenia",19028,0,0
"Acacia.acradenia",17960,0,0
"Acacia.acradenia",20107,0,0
"Acacia.acradenia",17968,0,0
"Acacia.acrionastes",14733,0,0
"Acacia.acuaria",13258,0,0
"Acacia.acuaria",13617,0,0
"Acacia.acuaria",13259,0,0
"Acacia.acuaria",13976,0,0
"Acacia.acuaria",14336,0,0
"Acacia.aculeatissima",11126,0,0
"Acacia.aculeatissima",11123,0,0
"Acacia.aculeatissima",10764,0,0
"Acacia.aculeatissima",10765,0,0
"Acacia.aculeatissima",11124,0,0
"Acacia.aculeatissima",11130,0,0
"Acacia.aculeatissima",10770,0,0
"Acacia.aculeiformis",13976,4,1
"Acacia.acuminata",14336,0,0
"Acacia.acuminata",12898,0,0
"Acacia.acuminata",12178,0,0
"Acacia.acuminata",13257,0,0
"Acacia.acuminata",13258,0,0
"Acacia.acuminata",13262,0,0
"Acacia.acuminata",13260,0,0
"Acacia.acuminata",12538,0,0
"Acacia.acuminata",13993,0,0
"Acacia.acuminata",13977,0,0
"Acacia.acuminata",14335,0,0
"Acacia.acuminata",12902,0,0
"Acacia.acuminata",14695,0,0
"Acacia.acuminata",13622,0,0
"Acacia.acuminata",13274,0,0
"Acacia.acuminata",12897,0,0
"Acacia.acuminata",15056,0,0
"Acacia.acuminata",13617,0,0
"Acacia.acuminata",13621,0,0
"Acacia.acuminata",12537,0,0
"Acacia.acuminata",13259,0,0
"Acacia.acuminata",13263,0,0
"Acacia.acuminata",13261,0,0
"Acacia.acuminata",15065,0,0
"Acacia.acuminata",14696,0,0
"Acacia.acuminata",13978,0,0
"Acacia.acuminata",14341,0,0
"Acacia.acutata",12899,1,1
"Acacia.adenogonia",20105,0,0
"Acacia.adinophylla",13620,0,0
"Acacia.adjutrices",12898,0,0
"Acacia.adoxa",17582,0,0
"Acacia.adoxa",18303,0,0
"Acacia.adoxa",19390,0,0
"Acacia.adoxa",17230,0,0
"Acacia.adoxa",20828,0,0
"Acacia.adoxa",17583,0,0
"Acacia.adoxa",15782,0,0
"Acacia.adoxa",19023,0,0
"Acacia.adoxa",18302,0,0
"Acacia.adoxa",17943,0,0
"Acacia.adoxa",16862,0,0
"Acacia.adoxa",17585,0,0
"Acacia.adoxa",17953,0,0
"Acacia.adoxa",17219,0,0
"Acacia.adoxa",18306,0,0
"Acacia.adoxa",18310,0,0
"Acacia.adoxa",16870,0,0
"Acacia.adoxa",19028,0,0
"Acacia.adoxa",16869,0,0
"Acacia.adoxa",19032,0,0
"Acacia.adoxa",17590,0,0
"Acacia.adoxa",17940,0,0
"Acacia.adoxa",17950,0,0
"Acacia.adoxa",17217,0,0
"Acacia.adoxa",18672,0,0
"Acacia.adoxa",18664,0,0
"Acacia.adoxa",17947,0,0
"Acacia.adoxa",17941,0,0
"Acacia.adoxa",18312,0,0
"Acacia.adoxa",18311,0,0
"Acacia.adsurgens",16511,0,0
"Acacia.adsurgens",16145,0,0
"Acacia.adsurgens",17956,0,0
"Acacia.adsurgens",18308,0,0
"Acacia.adsurgens",17230,0,0
"Acacia.adsurgens",16874,0,0
"Acacia.adsurgens",16870,0,0
"Acacia.adsurgens",17953,0,0
"Acacia.adsurgens",16873,0,0
"Acacia.adsurgens",17958,0,0
"Acacia.adsurgens",17955,0,0
"Acacia.adsurgens",17960,0,0
"Acacia.adsurgens",16524,0,0
"Acacia.adsurgens",17226,0,0
"Acacia.adsurgens",16862,0,0
"Acacia.adsurgens",18673,0,0
"Acacia.adsurgens",16164,0,0
"Acacia.adsurgens",15082,0,0
"Acacia.adsurgens",16509,0,0
"Acacia.adsurgens",16871,0,0
"Acacia.adsurgens",18304,0,0
"Acacia.adsurgens",18315,0,0
"Acacia.adsurgens",17234,0,0
"Acacia.adsurgens",17943,0,0
"Acacia.adsurgens",15806,0,0
"Acacia.adsurgens",18310,0,0
"Acacia.adsurgens",16884,0,0
"Acacia.adsurgens",19032,0,0
"Acacia.adsurgens",19030,0,0
"Acacia.adsurgens",17245,0,0
"Acacia.adsurgens",18311,0,0
"Acacia.adsurgens",18675,0,0
"Acacia.adsurgens",18314,0,0
"Acacia.adsurgens",17590,0,0
"Acacia.adsurgens",18312,0,0
"Acacia.adsurgens",18672,0,0
"Acacia.adunca",14372,0,0
"Acacia.adunca",14012,0,0
"Acacia.aestivalis",13258,0,0
"Acacia.aestivalis",13259,0,0
"Acacia.alata",12897,4,1
"Acacia.alata",12176,4,1
"Acacia.alata",13257,4,1
"Acacia.alata",12537,4,1
"Acacia.alata",14335,4,1
"Acacia.alata",12536,4,1
"Acacia.alata",13615,4,1
"Acacia.alata",13976,4,1
"Acacia.alata",13256,4,1
"Acacia.alcockii",11836,0,0
"Acacia.alcockii",11837,0,0
"Acacia.alexandri",17215,4,1
"Acacia.alexandri",17214,4,1
"Acacia.alleniana",21553,0,0
"Acacia.alleniana",20115,0,0
"Acacia.alleniana",21193,0,0
"Acacia.alleniana",20117,0,0
"Acacia.alleniana",20831,0,0
"Acacia.alleniana",21917,0,0
"Acacia.alleniana",21192,0,0
"Acacia.alleniana",19757,0,0
"Acacia.alleniana",18680,0,0
"Acacia.alleniana",18678,0,0
"Acacia.alleniana",19758,0,0
"Acacia.alleniana",21197,0,0
"Acacia.alleniana",20837,0,0
"Acacia.alleniana",19039,0,0
"Acacia.alleniana",21554,0,0
"Acacia.alpina",10767,0,0
"Acacia.alpina",11128,0,0
"Acacia.amanda",21193,0,0
"Acacia.amblygona",14733,0,0
"Acacia.amblygona",15091,0,0
"Acacia.amblygona",12932,0,0
"Acacia.amblygona",15452,0,0
"Acacia.amblygona",15812,0,0
"Acacia.amblygona",15451,0,0
"Acacia.amblygona",16887,0,0
"Acacia.amblygona",12568,0,0
"Acacia.amblygona",14011,0,0
"Acacia.amblygona",12572,0,0
"Acacia.ammobia",15792,0,0
"Acacia.ammobia",15791,0,0
"Acacia.ammophila",14725,0,0
"Acacia.ammophila",15805,0,0
"Acacia.amoena",12210,NA,NA
"Acacia.amoena",13292,NA,NA
"Acacia.ampliata",14696,0,0
"Acacia.ampliata",14336,0,0
"Acacia.ampliceps",17953,0,0
"Acacia.ampliceps",17582,0,0
"Acacia.ampliceps",18304,0,0
"Acacia.ampliceps",19029,0,0
"Acacia.ampliceps",20474,0,0
"Acacia.ampliceps",19034,0,0
"Acacia.ampliceps",18663,0,0
"Acacia.ampliceps",18305,0,0
"Acacia.ampliceps",17576,0,0
"Acacia.ampliceps",18673,0,0
"Acacia.ampliceps",18302,0,0
"Acacia.ampliceps",17945,0,0
"Acacia.ampliceps",19023,0,0
"Acacia.ampliceps",18313,0,0
"Acacia.amputata",12538,5,1
"Acacia.anarthros",13257,4,1
"Acacia.anasilla",19745,0,0
"Acacia.anastema",15776,0,0
"Acacia.anastema",15775,0,0
"Acacia.anastomosa",20827,0,0
"Acacia.anaticeps",17582,NA,NA
"Acacia.anaticeps",18301,NA,NA
"Acacia.anaticeps",17586,NA,NA
"Acacia.anaticeps",17943,NA,NA
"Acacia.anaticeps",17941,NA,NA
"Acacia.anaticeps",18305,NA,NA
"Acacia.anaticeps",18302,NA,NA
"Acacia.anceps",12908,0,0
"Acacia.anceps",12907,0,0
"Acacia.anceps",12914,0,0
"Acacia.anceps",12913,0,0
"Acacia.anceps",11836,0,0
"Acacia.anceps",12195,0,0
"Acacia.anceps",12915,0,0
"Acacia.anceps",11838,0,0
"Acacia.anceps",13273,0,0
"Acacia.anceps",12555,0,0
"Acacia.anceps",12196,0,0
"Acacia.anceps",12197,0,0
"Acacia.anceps",11837,0,0
"Acacia.ancistrocarpa",18310,NA,NA
"Acacia.ancistrocarpa",18305,NA,NA
"Acacia.ancistrocarpa",18316,NA,NA
"Acacia.ancistrocarpa",18670,NA,NA
"Acacia.ancistrocarpa",18672,NA,NA
"Acacia.ancistrocarpa",19025,NA,NA
"Acacia.ancistrocarpa",16855,NA,NA
"Acacia.ancistrocarpa",17230,NA,NA
"Acacia.ancistrocarpa",16877,NA,NA
"Acacia.ancistrocarpa",17216,NA,NA
"Acacia.ancistrocarpa",18304,NA,NA
"Acacia.ancistrocarpa",20108,NA,NA
"Acacia.ancistrocarpa",18306,NA,NA
"Acacia.ancistrocarpa",16871,NA,NA
"Acacia.ancistrocarpa",19030,NA,NA
"Acacia.ancistrocarpa",17241,NA,NA
"Acacia.ancistrocarpa",18673,NA,NA
"Acacia.ancistrocarpa",19393,NA,NA
"Acacia.ancistrocarpa",19748,NA,NA
"Acacia.ancistrocarpa",16870,NA,NA
"Acacia.ancistrocarpa",17236,NA,NA
"Acacia.ancistrocarpa",18675,NA,NA
"Acacia.ancistrocarpa",17959,NA,NA
"Acacia.ancistrocarpa",17951,NA,NA
"Acacia.ancistrocarpa",16511,NA,NA
"Acacia.ancistrocarpa",17219,NA,NA
"Acacia.ancistrocarpa",18308,NA,NA
"Acacia.ancistrocarpa",18680,NA,NA
"Acacia.ancistrocarpa",16146,NA,NA
"Acacia.ancistrocarpa",18311,NA,NA
"Acacia.ancistrocarpa",17593,NA,NA
"Acacia.ancistrocarpa",18663,NA,NA
"Acacia.ancistrocarpa",18302,NA,NA
"Acacia.ancistrocarpa",17591,NA,NA
"Acacia.ancistrocarpa",18317,NA,NA
"Acacia.ancistrocarpa",18318,NA,NA
"Acacia.ancistrocarpa",17596,NA,NA
"Acacia.ancistrocarpa",18314,NA,NA
"Acacia.ancistrocarpa",17956,NA,NA
"Acacia.ancistrocarpa",17217,NA,NA
"Acacia.ancistrocarpa",16499,NA,NA
