"","WorldID","spines","no_spines","extinct","extant","plant_richness","MeanTemp","legthDry","meanBA","continent","country","perc_spines","perc_no_spines"
"73",8607,0,4,7,0,4,11.4637733667692,4.6,0.016234466,"OC","Australia",0,1
"86",8967,0,7,9,0,7,9.33663956243494,5.4,0.001007365,"OC","Australia",0,1
"88",8969,0,11,9,0,11,13.1682791253092,12,NA,"OC","Australia",0,1
"100",9326,0,4,9,0,4,9.73494489698699,1.55,0.012092728,"OC","Australia",0,1
"102",9328,0,10,9,0,10,10.213388429578,10.92,0.000813163,"OC","Australia",0,1
"103",9329,0,10,9,0,10,13.2160950362518,12,0.007894098,"OC","Australia",0,1
"118",9687,0,4,9,0,4,13.642528024775,9.26,NA,"OC","Australia",0,1
"119",9688,0,5,9,0,5,13.5674369377916,10.9,0.001851474,"OC","Australia",0,1
"120",9689,0,5,9,0,5,13.9970238124623,11.99,0.000319491,"OC","Australia",0,1
"138",10049,0,5,0,0,5,14.6285398986604,11.85,NA,"OC","Australia",0,1
"156",10402,1,6,19,2,7,14.1363361112003,9.31111111111111,NA,"OC","Australia",0.142857142857143,0.857142857142857
"157",10403,0,10,17,2,10,14.0419538975447,9.37777777777778,NA,"OC","Australia",0,1
"158",10404,0,7,17,2,7,13.4781393183374,8.93333333333333,0.000340245,"OC","Australia",0,1
"159",10405,0,6,17,2,6,14.335883684405,11,NA,"OC","Australia",0,1
"160",10406,1,15,17,2,16,14.2801867860487,10.2222222222222,NA,"OC","Australia",0.0625,0.9375
"161",10407,0,5,17,2,5,13.7997701270142,10.1111111111111,0.00306141,"OC","Australia",0,1
"162",10408,1,5,17,2,6,14.6068031329533,12,NA,"OC","Australia",0.166666666666667,0.833333333333333
"181",10761,0,11,23,2,11,14.0471857830098,9.45,0.000510314,"OC","Australia",0,1
"182",10762,0,6,22,2,6,13.4028435290208,11.26,0.00239723,"OC","Australia",0,1
"183",10763,0,6,22,2,6,12.9206944395924,11.95,0.000511395,"OC","Australia",0,1
"184",10764,0,6,22,2,6,12.8086915187668,12,0.007902699,"OC","Australia",0,1
"185",10765,1,20,21,2,21,13.1895760067722,11.89,0.000788102,"OC","Australia",0.0476190476190476,0.952380952380952
"187",10767,0,10,20,2,10,11.5237061424562,9.08,0.025320972,"OC","Australia",0,1
"188",10768,0,9,20,2,9,13.5007236566808,12,0.011923173,"OC","Australia",0,1
"189",10769,0,23,20,3,23,14.2387354022578,11.03,0.001262948,"OC","Australia",0,1
"190",10770,0,18,17,3,18,14.9891374258967,10.51,0.001125402,"OC","Australia",0,1
"210",11121,2,15,23,2,17,14.4863716855513,11.9888888888889,0.001685862,"OC","Australia",0.117647058823529,0.88235294117647
"211",11122,1,8,23,2,9,14.0969985141163,12,0.007041848,"OC","Australia",0.111111111111111,0.888888888888889
"212",11123,1,22,20,2,23,13.933451335409,11.9666666666667,0.016380789,"OC","Australia",0.0434782608695652,0.956521739130435
"213",11124,1,9,20,2,10,13.8134513307813,12,0.005975807,"OC","Australia",0.1,0.9
"214",11125,1,16,18,2,17,13.864343653949,12,0.000257659,"OC","Australia",0.0588235294117647,0.941176470588235
"215",11126,0,13,20,2,13,13.6604645920362,11.6777777777778,0.000152831,"OC","Australia",0,1
"217",11128,0,10,15,3,10,10.1872861312202,9.06666666666667,0.058304488,"OC","Australia",0,1
"219",11130,0,29,21,3,29,12.5308849589311,11.8555555555556,0.000335269,"OC","Australia",0,1
"238",11477,1,5,1,0,6,15.3557132098768,10.63,0.018275289,"OC","Australia",0.166666666666667,0.833333333333333
"239",11478,2,18,1,0,20,15.359962522017,10.92,0.005438036,"OC","Australia",0.1,0.9
"240",11479,2,9,14,0,11,15.3271396750802,11.12,NA,"OC","Australia",0.181818181818182,0.818181818181818
"241",11480,1,7,13,0,8,15.3249699463715,11.99,0.000264717,"OC","Australia",0.125,0.875
"242",11481,2,12,14,0,14,15.3933108167247,12,0.01144269,"OC","Australia",0.142857142857143,0.857142857142857
"243",11482,1,12,11,1,13,15.4848272630044,12,0.002287648,"OC","Australia",0.0769230769230769,0.923076923076923
"244",11483,0,8,8,1,8,15.5796921251056,12,4.84e-05,"OC","Australia",0,1
"245",11484,0,6,8,1,6,15.7249247849525,12,8.05e-05,"OC","Australia",0,1
"246",11485,0,5,8,2,5,15.8486710656513,12,6.18e-05,"OC","Australia",0,1
